Barcode,Winning
6730542,True
6743832,False
6755856,False
6799936,False
6814400,False
6840381,True
6850448,True
6921785,False
6929132,False
6942186,False
6953989,False
6954332,False
6957003,False
6964266,False
6972593,False
6980210,False
6984594,False
7021000,False
7037463,False
7054583,True
7062517,False
7139897,True
7204069,False
7249535,True
7269592,True
7310747,False
7314000,False
7357153,False
7365664,False
7383744,False
7393195,False
7427751,False
7432821,True
7474412,False
7501522,False
7510650,False
7515105,False
7527677,False
7538142,True
7539559,False
7569514,False
7600411,False
7621606,False
7657608,False
7675781,False
7676010,False
7684357,False
7690039,True
7696761,False
7698075,False
7767400,False
7774262,False
7783810,False
7787855,False
7801273,False
7826498,False
7834466,False
7854462,True
7858968,False
7887248,False
7898674,False
7935840,True
7937393,True
7945999,False
7952340,False
7954975,False
7967510,False
7982744,False
7990196,False
8005713,False
8044563,False
8052238,False
8053204,False
8061552,False
8102990,False
8105232,False
8145118,False
8160650,False
8172447,False
8183444,True
8195317,True
8255089,False
8259082,False
8269223,False
8315026,False
8350145,True
8355302,False
8405861,False
8406580,False
8423674,False
8469318,False
8473634,False
8480049,False
8487382,False
8499294,False
8526591,False
8554036,False
8579509,False
8587209,True
8616829,False
8637943,False
8661417,True
8679572,False
8696162,False
8730251,True
8739253,True
8762459,False
8825341,False
8866503,False
8878730,False
8879671,False
8892065,True
8923257,False
8938525,True
8948808,False
8979372,False
8980338,False
8987383,True
9030419,False
9031020,False
9047100,True
9189268,True
9209245,False
9211345,True
9229055,False
9257395,False
9262929,False
9296710,True
9312209,False
9340367,False
9351718,False
9354645,False
9397170,False
9421599,False
9436577,False
9438370,False
9450287,False
9476485,False
9476720,False
9513036,False
9532042,True
9540566,False
9563628,True
9598839,False
9607917,True
9621244,False
9648771,False
9651431,True
9703501,False
9760549,False
9767669,False
9792139,True
9792353,False
9824107,False
9870482,True
9904574,False
9927908,True
9975731,False
9979588,False
9996262,False
